block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
445;lbm;;44.08;19.13;17.82;18.88;19.8;1.5139465332031;4;
414;lbm;;10.26;4.45;4.22;4.4;4.59;0.29724198579788;4;
416;lbm;;10.21;4.43;4.18;4.37;4.77;0.53451961278915;4;
393;lbm;;9.83;4.26;4.11;4.21;4.26;0.13662824034691;4;
412;lbm;;9.53;4.13;3.88;4.08;4.18;0.25566744804382;4;
396;lbm;;0.93;0.4;0.38;0.4;0.44;0.079415790736675;4;
404;lbm;;0.87;0.38;0.33;0.37;0.39;0.067232273519039;4;
400;lbm;;0.85;0.37;0.24;0.36;0.46;0.21232002973557;4;
372;lbm;;0.71;0.31;0.27;0.3;0.35;0.082572713494301;4;
397;lbm;;0.69;0.3;0.25;0.3;0.32;0.065073303878307;4;
391;lbm;;0.55;0.24;0.22;0.23;0.24;0.034428220242262;4;
405;lbm;;0.48;0.21;0.18;0.21;0.25;0.065912485122681;4;
447;lbm;;0.45;0.2;0.15;0.19;0.22;0.068420603871346;4;
124;lbm;;0.43;0.19;0.34;0.37;0.4;0.085374847054482;2;
401;lbm;;0.32;0.14;0.09;0.14;0.17;0.067060470581055;4;
409;lbm;;0.25;0.11;0.09;0.11;0.13;0.030281756073236;4;
398;lbm;;0.22;0.1;0.08;0.1;0.11;0.038866732269526;4;
466;lbm;;0.21;0.09;0.35;0.35;0.35;0;1;
408;lbm;;0.18;0.08;0.06;0.08;0.1;0.037006426602602;4;
111;lbm;;0.18;0.08;0.13;0.16;0.18;0.079849921166897;2;
392;lbm;;0.14;0.06;0.05;0.06;0.07;0.023472117260098;4;
130;lbm;;0.13;0.06;0.1;0.11;0.13;0.050507329404354;2;
395;lbm;;0.07;0.03;0.02;0.03;0.04;0.034418556839228;4;
129;lbm;;0.05;0.02;0.09;0.09;0.09;0;1;
394;lbm;;0.05;0.02;0.01;0.02;0.03;0.026395345106721;4;
403;lbm;;0.04;0.02;0.01;0.02;0.03;0.031275779008865;3;
132;lbm;;0.03;0.01;0.03;0.03;0.03;0.0078351488336921;2;
406;lbm;;0.03;0.01;0;0.01;0.03;0.019615158438683;4;
407;lbm;;0.03;0.01;0;0.01;0.02;0.014859766699374;4;
128;lbm;;0.03;0.01;0.02;0.03;0.04;0.032402008771896;2;
122;lbm;;0.03;0.01;0.01;0.02;0.03;0.024816606193781;2;
123;lbm;;0.02;0.01;0.04;0.04;0.04;0;1;
120;lbm;;0.02;0.01;0.01;0.02;0.03;0.024317115545273;2;
402;lbm;;0.01;0.01;0;0.01;0.01;0.0065517514012754;3;
470;lbm;;0.01;0;0.02;0.02;0.02;0;1;
399;lbm;;0.01;0;0;0.01;0.01;0.0084574371576309;2;
435;lbm;;0.01;0;0;0;0;9.8430369689595e-05;3;
361;lbm;;0.01;0;0;0.01;0.01;0.0083404611796141;2;
126;lbm;;0.01;0;0;0.01;0.01;0.0082722036167979;2;
107;lbm;;0.01;0;0;0;0;6.2436607549898e-05;2;
110;lbm;;0.01;0;0.01;0.01;0.01;0;1;
449;lbm;;0.01;0;0.01;0.01;0.01;0;1;
434;lbm;;0;0;0;0;0;0;1;
439;lbm;;0;0;0;0;0;0;1;
426;lbm;;0;0;0;0;0;0;1;
448;lbm;;0;0;0;0;0;0;1;
324;lbm;;0;0;0;0;0;0;1;
155;lbm;;0;0;0;0;0;0;1;
