block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
445;lbm;;44.18;18.76;;;;;;
414;lbm;;10.19;4.32;;;;;;
416;lbm;;10.08;4.28;;;;;;
393;lbm;;10.02;4.26;;;;;;
412;lbm;;9.62;4.09;;;;;;
404;lbm;;0.91;0.39;;;;;;
396;lbm;;0.91;0.38;;;;;;
400;lbm;;0.88;0.37;;;;;;
397;lbm;;0.69;0.3;;;;;;
372;lbm;;0.64;0.27;;;;;;
391;lbm;;0.58;0.24;;;;;;
447;lbm;;0.46;0.19;;;;;;
405;lbm;;0.42;0.18;;;;;;
401;lbm;;0.33;0.14;;;;;;
398;lbm;;0.25;0.11;;;;;;
408;lbm;;0.24;0.1;;;;;;
409;lbm;;0.22;0.09;;;;;;
392;lbm;;0.15;0.07;;;;;;
403;lbm;;0.08;0.03;;;;;;
394;lbm;;0.06;0.02;;;;;;
395;lbm;;0.05;0.02;;;;;;
406;lbm;;0.02;0.01;;;;;;
449;lbm;;0.02;0.01;;;;;;
435;lbm;;0.01;0;;;;;;
361;lbm;;0.01;0;;;;;;
407;lbm;;0.01;0;;;;;;
