function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
9;lbm;propagation._omp_fn.0;;46.26;20.07;19.18;19.82;20.35;0.72637224197388;4;"100,0,0,0,0,0,0,0,0,0";
10;lbm;collision._omp_fn.0;;44.56;19.34;18.02;19.09;19.95;1.4796557426453;4;"100,0,0,0,0,0,0,0,0,0";
265;libgomp.so.1.0.0;gomp_barrier_wait_end;;2.79;1.21;2.05;2.39;2.72;1.1278482675552;2;"0,0,100,0,0,0,0,0,0,0";
269;libgomp.so.1.0.0;gomp_team_barrier_wait_end;;2.5;1.08;0.04;1.07;2.45;2.8304035663605;4;"0,0,100,0,0,0,0,0,0,0";
1;lbm;main;;0.95;0.41;0.8;0.81;0.82;0.034681715071201;2;"100,0,0,0,0,0,0,0,0,0";
3621;libc.so.6;__memcpy_evex_unaligned_erms;;0.32;0.14;0.24;0.27;0.31;0.11927549540997;2;"0,0,0,0,100,0,0,0,0,0";
0;[vdso];Unknown function;;0.24;0.1;0.14;0.2;0.27;0.19884511828423;2;"0,0,0,0,0,0,0,0,0,100";
1121;libc.so.6;__pthread_spin_lock;;0.23;0.1;0.18;0.19;0.21;0.046636268496513;2;"0,0,0,0,100,0,0,0,0,0";
12;lbm;save_frame;;0.22;0.09;0.37;0.37;0.37;0;1;"100,0,0,0,0,0,0,0,0,0";
1071;libc.so.6;__GI___pthread_mutex_unlock_usercnt;;0.2;0.09;0.17;0.17;0.18;0.026689659804106;2;"0,0,0,0,100,0,0,0,0,0";
1064;libc.so.6;__GI___pthread_mutex_lock;;0.13;0.06;0.09;0.11;0.13;0.058654673397541;2;"0,0,0,0,0,100,0,0,0,0";
1271;libc.so.6;_int_free;;0.06;0.03;0.05;0.05;0.06;0.017043896019459;2;"0,0,0,0,0,0,0,0,100,0";
1280;libc.so.6;__GI___libc_malloc;;0.06;0.03;0.04;0.05;0.06;0.025191228836775;2;"0,0,0,0,0,0,0,0,100,0";
11328;libLLVM-13.so;llvm::BitstreamCursor::readRecord(unsigned int, llvm::SmallVectorImpl<unsigned long>&, llvm::StringRef*);;0.06;0.02;0.04;0.05;0.05;0.023942481726408;2;"0,0,0,0,0,0,0,0,0,100";
-1;kernel;unknown_kernel_region;;0.06;0.02;0.01;0.02;0.04;0.03413100540638;4;"0,5.2652440033166,52.628048542669,0,42.106707454015,0,0,0,0,0";
1273;libc.so.6;_int_malloc;;0.05;0.02;0.04;0.04;0.05;0.015795158222318;2;"0,0,0,0,0,0,0,0,100,0";
1384;libLLVM-13.so;llvm::StringMapImpl::RemoveKey(llvm::StringMapEntryBase*);;0.04;0.02;0.03;0.04;0.04;0.016794154420495;2;"0,0,0,0,0,0,0,0,0,100";
3748;libmpi.so.12.2.2;MPIDI_NM_progress.constprop.0;;0.04;0.02;0.03;0.03;0.04;0.032277133315802;2;"0,100,0,0,0,0,0,0,0,0";
476;libfabric.so.1.17.0;ofi_gettime_ms;;0.04;0.02;0.01;0.03;0.05;0.065803006291389;2;"0,0,0,0,0,0,0,0,0,100";
1382;libLLVM-13.so;llvm::StringMapImpl::LookupBucketFor(llvm::StringRef);;0.04;0.02;0.03;0.03;0.04;0.016731716692448;2;"0,0,0,0,0,0,0,0,0,100";
5727;libLLVM-13.so;llvm::ValueHandleBase::AddToUseList();;0.04;0.02;0.03;0.03;0.03;0.00037461699685082;2;"0,0,0,0,0,0,0,0,0,100";
1261;libc.so.6;malloc_consolidate;;0.03;0.01;0.03;0.03;0.03;0.0085219480097294;2;"0,0,0,0,0,0,0,0,100,0";
1581;libfabric.so.1.17.0;sock_pe_progress_rx_ctx;;0.03;0.01;0.03;0.03;0.03;0.00031218171352521;2;"0,0,0,0,0,0,0,0,0,100";
5703;libLLVM-13.so;llvm::Value::getValueName() const;;0.03;0.01;0.02;0.02;0.03;0.016044912859797;2;"0,0,0,0,0,0,0,0,0,100";
1406;libfabric.so.1.17.0;sock_cq_sreadfrom;;0.03;0.01;0.01;0.02;0.04;0.048759110271931;2;"0,0,0,0,0,0,0,0,0,100";
3749;libmpi.so.12.2.2;MPID_Progress_wait;;0.03;0.01;0.02;0.02;0.03;0.008459510281682;2;"0,100,0,0,0,0,0,0,0,0";
308;libigc.so.1.0.1;std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool);;0.03;0.01;0.02;0.02;0.03;0.008459510281682;2;"0,0,0,0,0,0,0,0,0,100";
1402;libfabric.so.1.17.0;sock_cq_progress.part.0;;0.02;0.01;0.01;0.02;0.03;0.032963935285807;2;"0,0,0,0,0,0,0,0,0,100";
1535;libmpi.so.12.2.2;MPI_Comm_rank;;0.02;0.01;0.01;0.02;0.03;0.016606841236353;2;"0,100,0,0,0,0,0,0,0,0";
1562;libfabric.so.1.17.0;sock_pe_progress_rx_ep;;0.02;0.01;0.02;0.02;0.02;0.00024974643019959;2;"0,0,0,0,0,0,0,0,0,100";
323;libigc.so.1.0.1;std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned long, int const&);;0.02;0.01;0.02;0.02;0.02;0.00024974643019959;2;"0,0,0,0,0,0,0,0,0,100";
321;libigc.so.1.0.1;std::_Rb_tree<int, std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::_Select1st<std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >, int const&);;0.02;0.01;0.02;0.02;0.02;0.00024974643019959;2;"0,0,0,0,0,0,0,0,0,100";
266;libgomp.so.1.0.0;gomp_barrier_wait;;0.02;0.01;0;0.01;0.01;0.009719543159008;4;"0,0,100,0,0,0,0,0,0,0";
5728;libLLVM-13.so;llvm::ValueHandleBase::RemoveFromUseList();;0.02;0.01;0.02;0.02;0.03;0.016107350587845;2;"0,0,0,0,0,0,0,0,0,100";
329;libigc.so.1.0.1;void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int&);;0.02;0.01;0.01;0.02;0.03;0.032464444637299;2;"0,0,0,0,0,0,0,0,0,100";
4488;libmpi.so.12.2.2;MPIDI_POSIX_eager_recv_commit;;0.02;0.01;0.01;0.02;0.03;0.024754172191024;2;"0,100,0,0,0,0,0,0,0,0";
1585;libfabric.so.1.17.0;sock_pe_progress_ep_tx;;0.02;0.01;0.01;0.02;0.03;0.024754170328379;2;"0,0,0,0,0,0,0,0,0,100";
4487;libmpi.so.12.2.2;MPIDI_POSIX_eager_recv_begin;;0.02;0.01;0.01;0.02;0.03;0.024317115545273;2;"0,100,0,0,0,0,0,0,0,0";
