name;time_p;time_s;cpi_ratio;
/home/gabrl/uni/m1/s2/top/project/v6-fine-tuning/maqao/binaries/lbm;91.98;39.92;;
/usr/lib/libgomp.so.1.0.0;5.37;2.33;;
/usr/lib/libc.so.6;1.14;0.49;;
/usr/lib/libLLVM-13.so;0.5;0.22;;
[vdso];0.24;0.1;;
/home/gabrl/spack/opt/spack/linux-arch-icelake/gcc-11.2.0/mpich-4.0.2-ovaiitebpphhsbq3stbdlvjw42dl4g3y/lib/libmpi.so.12.2.2;0.23;0.1;;
/home/gabrl/spack/opt/spack/linux-arch-icelake/gcc-11.2.0/libfabric-1.14.0-ea7dxvol7ciem674rnsz6uf4yp65mdpe/lib/libfabric.so.1.17.0;0.22;0.1;;
/usr/lib/libigc.so.1.0.1;0.22;0.09;;
kernel;0.06;0.02;;
/usr/lib/libstdc++.so.6.0.29;0.02;0.01;;
/usr/lib/libze_intel_gpu.so.1.3.22992;0.01;0.01;;
/usr/lib/libze_loader.so.1.7.15;0.01;0;;
/usr/lib/ld-linux-x86-64.so.2;0.01;0;;
